way_point_1	way_point_2	distance_meters	duration_minutes
Institute for Studies in Theoretical Physics and Mathematics	Kharazmi University, Tehran, Tehran Province	16860	27.716666666666665
Kharazmi University, Tehran, Tehran Province	Iran Polymer and Petrochemical Institute	33360	37.68333333333333
Kharazmi University, Tehran, Tehran Province	Police University Amin	23750	33.35
shahid rajaee teacher training university	Kharazmi University, Tehran, Tehran Province	12930	18.566666666666666
Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	Alzahra University	14106	27.166666666666668
Institute for management and planning studies, Shafei, Tehran, Tehran Province	Alzahra University	15309	31.566666666666666
Institute for Studies in Theoretical Physics and Mathematics	Alzahra University	14474	29.15
Iran Polymer and Petrochemical Institute	Alzahra University	26383	29.583333333333332
Alzahra University	Police University Amin	17988	23.4
shahid rajaee teacher training university	Alzahra University	13905	21.35
Institute for management and planning studies, Shafei, Tehran, Tehran Province	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	20122	44.2
Institute for Studies in Theoretical Physics and Mathematics	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	21150	41.65
Iran Polymer and Petrochemical Institute	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	26879	31.0
Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	Police University Amin	23469	31.416666666666668
shahid rajaee teacher training university	Imam Ali University, Emam Khomeyni Street, Tehran, Tehran Province	17206	32.38333333333333
Institute for Studies in Theoretical Physics and Mathematics	Institute for management and planning studies, Shafei, Tehran, Tehran Province	772	2.966666666666667
Iran Polymer and Petrochemical Institute	Institute for management and planning studies, Shafei, Tehran, Tehran Province	37694	45.68333333333333
Institute for management and planning studies, Shafei, Tehran, Tehran Province	Police University Amin	29298	39.483333333333334
shahid rajaee teacher training university	Institute for management and planning studies, Shafei, Tehran, Tehran Province	6660	16.066666666666666
Institute for Studies in Theoretical Physics and Mathematics	Iran Polymer and Petrochemical Institute	36922	42.7
Institute for Studies in Theoretical Physics and Mathematics	Police University Amin	28526	36.5
Institute for Studies in Theoretical Physics and Mathematics	shahid rajaee teacher training university	5888	13.083333333333334
Iran Polymer and Petrochemical Institute	Police University Amin	11046	14.133333333333333
shahid rajaee teacher training university	Iran Polymer and Petrochemical Institute	34649	39.9
shahid rajaee teacher training university	Police University Amin	28348	35.0
